source_dataset,funder_institution,program_name,program_family,eligible_actor,instrument_type,amount_clp,amount_note,open_date,close_date,status,recurrence,specificity,climate_relevance,climate_relevance_norm,gpc_sectors,access_pathway,detail_level,status_as_of,source_url,notes
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2026 - Proyectos Sustentables Ciudadanos,FPA Ciudadanos,community/citizen org,grant,6000000.0,,2025-08-26,2025-10-07,closed,annual,sector-specific,explicit,explicit,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-ciudadanos/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2026 - Proyectos Sustentables en Establecimientos Educacionales,FPA Educacionales,community/citizen org,grant,6000000.0,,2025-08-26,2025-10-07,closed,annual,sector-specific,explicit,explicit,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-en-establecimientos-educacionales/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2026 - Proyectos Sustentables para Pueblos Indígenas,FPA Pueblos Indígenas,indigenous community,grant,6000000.0,,2025-08-26,2025-10-07,closed,annual,sector-specific,explicit,explicit,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-para-pueblos-indigenas/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPA Extraordinario Rapa Nui 2026,FPA Rapa Nui,indigenous community,grant,100000000.0,amount_suspect (source typo),2025-10-02,2025-10-24,closed,sporadic,sector-specific,explicit,explicit,"[""afolu""]",direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpa-2026-rapanui/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 - Alto del Carmen: Ecosistemas Altoandinos – Humedales y Criósfera,FPA Alto del Carmen,research/university + ngo,grant,70000000.0,,2025-08-05,2025-09-17,closed,one-off,sector-specific,explicit,explicit,"[""afolu""]",direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/altodelcarmen-hidrico-2025/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 - Alto del Carmen: Ecosistemas Altoandinos – Biodiversidad,FPA Alto del Carmen,research/university + ngo,grant,60000000.0,,2025-08-05,2025-09-17,closed,one-off,sector-specific,explicit,explicit,"[""afolu""]",direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/altodelcarmen-biodiversidad-2025/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2026 - Fondo para el Reciclaje,FPR Reciclaje,municipality,grant,14000000.0,,2025-09-24,2025-10-30,closed,annual,sector-specific,explicit,explicit,"[""waste""]",direct application (via fondos.gob.cl),detailed,2026-06-08,https://fondos.mma.gob.cl/fpr-2026-fondo-para-el-reciclaje/,FPR
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 – TSEJ comuna de Tocopilla,FPA TSEJ (zonas),unspecified,grant,,,2025-07-01,,closed,one-off,sector-specific,explicit,explicit,"[""cross_sector""]",direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-tsej-2025-tocopilla/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 – TSEJ comuna de Mejillones,FPA TSEJ (zonas),unspecified,grant,,,2025-07-01,,closed,one-off,sector-specific,explicit,explicit,"[""cross_sector""]",direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-tsej-2025-mejillones/,FPA
cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2025 – Conservando y protegiendo la fauna silvestre (Centros de Rehabilitación o Rescate),FPA Fauna/biodiv especial,unspecified,grant,,,2025-05-08,,closed,one-off,sector-specific,explicit,explicit,"[""afolu""]",direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2025-conservando-fauna-silvestre-crr/,FPA
